ds,y
01-01-2023,239
01-02-2023,221
01-03-2023,214
01-04-2023,191
01-05-2023,260
01-06-2023,277
01-07-2023,196
01-08-2023,168
01-09-2023,186
01-10-2023,182
01-11-2023,224
01-12-2023,252
01-13-2023,115
01-14-2023,209
01-15-2023,219
01-16-2023,153
01-17-2023,263
01-18-2023,225
01-19-2023,163
01-20-2023,214
01-21-2023,248
01-22-2023,210
01-23-2023,174
01-24-2023,219
01-25-2023,117
01-26-2023,247
01-27-2023,150
01-28-2023,237
01-29-2023,233
01-30-2023,221
01-31-2023,234
02-01-2023,234
02-02-2023,186
02-03-2023,312
02-04-2023,250
02-05-2023,248
02-06-2023,309
02-07-2023,258
02-08-2023,270
02-09-2023,172
02-10-2023,270
02-11-2023,225
02-12-2023,231
02-13-2023,255
02-14-2023,193
02-15-2023,254
02-16-2023,233
02-17-2023,218
02-18-2023,186
02-19-2023,273
02-20-2023,218
02-21-2023,291
02-22-2023,245
02-23-2023,238
02-24-2023,179
02-25-2023,226
02-26-2023,254
02-27-2023,195
02-28-2023,285
03-01-2023,214
03-02-2023,232
03-03-2023,191
03-04-2023,280
03-05-2023,254
03-06-2023,237
03-07-2023,203
03-08-2023,264
03-09-2023,224
03-10-2023,185
03-11-2023,196
03-12-2023,257
03-13-2023,193
03-14-2023,267
03-15-2023,201
03-16-2023,144
03-17-2023,193
03-18-2023,182
03-19-2023,221
03-20-2023,267
03-21-2023,166
03-22-2023,224
03-23-2023,221
03-24-2023,230
03-25-2023,221
03-26-2023,194
03-27-2023,226
03-28-2023,201
03-29-2023,262
03-30-2023,177
03-31-2023,257
04-01-2023,270
04-02-2023,239
04-03-2023,203
04-04-2023,232
04-05-2023,300
04-06-2023,214
04-07-2023,245
04-08-2023,190
04-09-2023,232
04-10-2023,143
04-11-2023,201
04-12-2023,249
04-13-2023,234
04-14-2023,277
04-15-2023,256
04-16-2023,260
04-17-2023,151
04-18-2023,238
04-19-2023,202
04-20-2023,207
04-21-2023,192
04-22-2023,244
04-23-2023,200
04-24-2023,230
04-25-2023,337
04-26-2023,225
04-27-2023,238
04-28-2023,254
04-29-2023,232
04-30-2023,258
05-01-2023,181
05-02-2023,322
05-03-2023,259
05-04-2023,261
05-05-2023,287
05-06-2023,222
05-07-2023,225
05-08-2023,252
05-09-2023,172
05-10-2023,242
05-11-2023,154
05-12-2023,307
05-13-2023,157
05-14-2023,256
05-15-2023,305
05-16-2023,301
05-17-2023,148
05-18-2023,146
05-19-2023,193
05-20-2023,191
05-21-2023,308
05-22-2023,236
05-23-2023,124
05-24-2023,265
05-25-2023,200
05-26-2023,145
05-27-2023,210
05-28-2023,222
05-29-2023,241
05-30-2023,260
05-31-2023,235
06-01-2023,190
06-02-2023,227
06-03-2023,238
06-04-2023,215
06-05-2023,250
06-06-2023,197
06-07-2023,279
06-08-2023,210
06-09-2023,195
06-10-2023,283
06-11-2023,167
06-12-2023,185
06-13-2023,268
06-14-2023,273
06-15-2023,232
06-16-2023,270
06-17-2023,161
06-18-2023,224
06-19-2023,245
06-20-2023,227
06-21-2023,287
06-22-2023,312
06-23-2023,244
06-24-2023,222
06-25-2023,223
06-26-2023,164
06-27-2023,255
06-28-2023,212
06-29-2023,254
06-30-2023,291
07-01-2023,318
07-02-2023,252
07-03-2023,245
07-04-2023,333
07-05-2023,208
07-06-2023,276
07-07-2023,157
07-08-2023,254
07-09-2023,302
07-10-2023,216
07-11-2023,260
07-12-2023,179
07-13-2023,187
07-14-2023,231
07-15-2023,229
