date,warehouse,region,part_name,customer_segment,weather,fuel_price,promotion_event,quantity_sold
2023-01-01,WM1,Northeast,brake_pad_left,OEM Dealerships,Cold,2.94,1,23
2023-01-01,WM1,Northeast,brake_pad_left,Fleet Maintenance Companies,Cold,2.94,1,23
2023-01-01,WM1,Northeast,brake_pad_left,Distributors / Jobbers,Cold,2.94,1,20
2023-01-01,WM1,Northeast,brake_pad_right,OEM Dealerships,Cold,2.94,1,26
2023-01-01,WM1,Northeast,brake_pad_right,Fleet Maintenance Companies,Cold,2.94,1,26
2023-01-01,WM1,Northeast,brake_pad_right,Distributors / Jobbers,Cold,2.94,1,22
2023-01-01,WM1,Northeast,engine_oil_filter,OEM Dealerships,Cold,2.94,1,27
2023-01-01,WM1,Northeast,engine_oil_filter,Fleet Maintenance Companies,Cold,2.94,1,26
2023-01-01,WM1,Northeast,engine_oil_filter,Distributors / Jobbers,Cold,2.94,1,24
2023-01-01,WM1,Northeast,fuel_filter,OEM Dealerships,Cold,2.94,1,18
2023-01-01,WM1,Northeast,fuel_filter,Fleet Maintenance Companies,Cold,2.94,1,26
2023-01-01,WM1,Northeast,fuel_filter,Distributors / Jobbers,Cold,2.94,1,21
2023-01-01,WM1,Northeast,air_filter,OEM Dealerships,Cold,2.94,1,20
2023-01-01,WM1,Northeast,air_filter,Fleet Maintenance Companies,Cold,2.94,1,28
2023-01-01,WM1,Northeast,air_filter,Distributors / Jobbers,Cold,2.94,1,28
2023-01-01,WM1,Northeast,wiper_blade,OEM Dealerships,Cold,2.94,1,36
2023-01-01,WM1,Northeast,wiper_blade,Fleet Maintenance Companies,Cold,2.94,1,38
2023-01-01,WM1,Northeast,wiper_blade,Distributors / Jobbers,Cold,2.94,1,39
2023-01-01,WM2,Midwest,brake_pad_left,OEM Dealerships,Cold,2.94,1,23
2023-01-01,WM2,Midwest,brake_pad_left,Fleet Maintenance Companies,Cold,2.94,1,22
2023-01-01,WM2,Midwest,brake_pad_left,Distributors / Jobbers,Cold,2.94,1,21
2023-01-01,WM2,Midwest,brake_pad_right,OEM Dealerships,Cold,2.94,1,18
2023-01-01,WM2,Midwest,brake_pad_right,Fleet Maintenance Companies,Cold,2.94,1,31
2023-01-01,WM2,Midwest,brake_pad_right,Distributors / Jobbers,Cold,2.94,1,23
2023-01-01,WM2,Midwest,engine_oil_filter,OEM Dealerships,Cold,2.94,1,30
2023-01-01,WM2,Midwest,engine_oil_filter,Fleet Maintenance Companies,Cold,2.94,1,28
2023-01-01,WM2,Midwest,engine_oil_filter,Distributors / Jobbers,Cold,2.94,1,33
2023-01-01,WM2,Midwest,fuel_filter,OEM Dealerships,Cold,2.94,1,18
2023-01-01,WM2,Midwest,fuel_filter,Fleet Maintenance Companies,Cold,2.94,1,24
2023-01-01,WM2,Midwest,fuel_filter,Distributors / Jobbers,Cold,2.94,1,22
2023-01-01,WM2,Midwest,air_filter,OEM Dealerships,Cold,2.94,1,25
2023-01-01,WM2,Midwest,air_filter,Fleet Maintenance Companies,Cold,2.94,1,27
2023-01-01,WM2,Midwest,air_filter,Distributors / Jobbers,Cold,2.94,1,32
2023-01-01,WM2,Midwest,wiper_blade,OEM Dealerships,Cold,2.94,1,33
2023-01-01,WM2,Midwest,wiper_blade,Fleet Maintenance Companies,Cold,2.94,1,36
2023-01-01,WM2,Midwest,wiper_blade,Distributors / Jobbers,Cold,2.94,1,37
2023-01-01,WM3,South,brake_pad_left,OEM Dealerships,Cold,2.94,1,19
2023-01-01,WM3,South,brake_pad_left,Fleet Maintenance Companies,Cold,2.94,1,25
2023-01-01,WM3,South,brake_pad_left,Distributors / Jobbers,Cold,2.94,1,23
2023-01-01,WM3,South,brake_pad_right,OEM Dealerships,Cold,2.94,1,23
2023-01-01,WM3,South,brake_pad_right,Fleet Maintenance Companies,Cold,2.94,1,22
2023-01-01,WM3,South,brake_pad_right,Distributors / Jobbers,Cold,2.94,1,22
2023-01-01,WM3,South,engine_oil_filter,OEM Dealerships,Cold,2.94,1,24
2023-01-01,WM3,South,engine_oil_filter,Fleet Maintenance Companies,Cold,2.94,1,30
2023-01-01,WM3,South,engine_oil_filter,Distributors / Jobbers,Cold,2.94,1,30
2023-01-01,WM3,South,fuel_filter,OEM Dealerships,Cold,2.94,1,18
2023-01-01,WM3,South,fuel_filter,Fleet Maintenance Companies,Cold,2.94,1,23
2023-01-01,WM3,South,fuel_filter,Distributors / Jobbers,Cold,2.94,1,18
2023-01-01,WM3,South,air_filter,OEM Dealerships,Cold,2.94,1,24
2023-01-01,WM3,South,air_filter,Fleet Maintenance Companies,Cold,2.94,1,32
2023-01-01,WM3,South,air_filter,Distributors / Jobbers,Cold,2.94,1,21
2023-01-01,WM3,South,wiper_blade,OEM Dealerships,Cold,2.94,1,39
2023-01-01,WM3,South,wiper_blade,Fleet Maintenance Companies,Cold,2.94,1,45
2023-01-01,WM3,South,wiper_blade,Distributors / Jobbers,Cold,2.94,1,39
2023-01-01,WM4,West,brake_pad_left,OEM Dealerships,Cold,2.94,1,19
2023-01-01,WM4,West,brake_pad_left,Fleet Maintenance Companies,Cold,2.94,1,26
2023-01-01,WM4,West,brake_pad_left,Distributors / Jobbers,Cold,2.94,1,21
2023-01-01,WM4,West,brake_pad_right,OEM Dealerships,Cold,2.94,1,22
2023-01-01,WM4,West,brake_pad_right,Fleet Maintenance Companies,Cold,2.94,1,28
2023-01-01,WM4,West,brake_pad_right,Distributors / Jobbers,Cold,2.94,1,20
2023-01-01,WM4,West,engine_oil_filter,OEM Dealerships,Cold,2.94,1,33
2023-01-01,WM4,West,engine_oil_filter,Fleet Maintenance Companies,Cold,2.94,1,27
2023-01-01,WM4,West,engine_oil_filter,Distributors / Jobbers,Cold,2.94,1,34
2023-01-01,WM4,West,fuel_filter,OEM Dealerships,Cold,2.94,1,19
2023-01-01,WM4,West,fuel_filter,Fleet Maintenance Companies,Cold,2.94,1,21
2023-01-01,WM4,West,fuel_filter,Distributors / Jobbers,Cold,2.94,1,20
2023-01-01,WM4,West,air_filter,OEM Dealerships,Cold,2.94,1,20
2023-01-01,WM4,West,air_filter,Fleet Maintenance Companies,Cold,2.94,1,34
2023-01-01,WM4,West,air_filter,Distributors / Jobbers,Cold,2.94,1,30
2023-01-01,WM4,West,wiper_blade,OEM Dealerships,Cold,2.94,1,37
2023-01-01,WM4,West,wiper_blade,Fleet Maintenance Companies,Cold,2.94,1,44
2023-01-01,WM4,West,wiper_blade,Distributors / Jobbers,Cold,2.94,1,38
2023-01-02,WM1,Northeast,brake_pad_left,OEM Dealerships,Cold,3.08,0,17
2023-01-02,WM1,Northeast,brake_pad_left,Fleet Maintenance Companies,Cold,3.08,0,21
2023-01-02,WM1,Northeast,brake_pad_left,Distributors / Jobbers,Cold,3.08,0,18
2023-01-02,WM1,Northeast,brake_pad_right,OEM Dealerships,Cold,3.08,0,16
2023-01-02,WM1,Northeast,brake_pad_right,Fleet Maintenance Companies,Cold,3.08,0,22
2023-01-02,WM1,Northeast,brake_pad_right,Distributors / Jobbers,Cold,3.08,0,22
2023-01-02,WM1,Northeast,engine_oil_filter,OEM Dealerships,Cold,3.08,0,18
2023-01-02,WM1,Northeast,engine_oil_filter,Fleet Maintenance Companies,Cold,3.08,0,27
2023-01-02,WM1,Northeast,engine_oil_filter,Distributors / Jobbers,Cold,3.08,0,25
2023-01-02,WM1,Northeast,fuel_filter,OEM Dealerships,Cold,3.08,0,17
2023-01-02,WM1,Northeast,fuel_filter,Fleet Maintenance Companies,Cold,3.08,0,16
2023-01-02,WM1,Northeast,fuel_filter,Distributors / Jobbers,Cold,3.08,0,16
2023-01-02,WM1,Northeast,air_filter,OEM Dealerships,Cold,3.08,0,20
2023-01-02,WM1,Northeast,air_filter,Fleet Maintenance Companies,Cold,3.08,0,23
2023-01-02,WM1,Northeast,air_filter,Distributors / Jobbers,Cold,3.08,0,21
2023-01-02,WM1,Northeast,wiper_blade,OEM Dealerships,Cold,3.08,0,24
2023-01-02,WM1,Northeast,wiper_blade,Fleet Maintenance Companies,Cold,3.08,0,31
2023-01-02,WM1,Northeast,wiper_blade,Distributors / Jobbers,Cold,3.08,0,26
2023-01-02,WM2,Midwest,brake_pad_left,OEM Dealerships,Cold,3.08,0,18
2023-01-02,WM2,Midwest,brake_pad_left,Fleet Maintenance Companies,Cold,3.08,0,17
2023-01-02,WM2,Midwest,brake_pad_left,Distributors / Jobbers,Cold,3.08,0,21
2023-01-02,WM2,Midwest,brake_pad_right,OEM Dealerships,Cold,3.08,0,16
2023-01-02,WM2,Midwest,brake_pad_right,Fleet Maintenance Companies,Cold,3.08,0,16
2023-01-02,WM2,Midwest,brake_pad_right,Distributors / Jobbers,Cold,3.08,0,20
2023-01-02,WM2,Midwest,engine_oil_filter,OEM Dealerships,Cold,3.08,0,21
2023-01-02,WM2,Midwest,engine_oil_filter,Fleet Maintenance Companies,Cold,3.08,0,21
2023-01-02,WM2,Midwest,engine_oil_filter,Distributors / Jobbers,Cold,3.08,0,22
2023-01-02,WM2,Midwest,fuel_filter,OEM Dealerships,Cold,3.08,0,14
2023-01-02,WM2,Midwest,fuel_filter,Fleet Maintenance Companies,Cold,3.08,0,15
2023-01-02,WM2,Midwest,fuel_filter,Distributors / Jobbers,Cold,3.08,0,17
2023-01-02,WM2,Midwest,air_filter,OEM Dealerships,Cold,3.08,0,19
2023-01-02,WM2,Midwest,air_filter,Fleet Maintenance Companies,Cold,3.08,0,18
2023-01-02,WM2,Midwest,air_filter,Distributors / Jobbers,Cold,3.08,0,21
2023-01-02,WM2,Midwest,wiper_blade,OEM Dealerships,Cold,3.08,0,21
2023-01-02,WM2,Midwest,wiper_blade,Fleet Maintenance Companies,Cold,3.08,0,24
2023-01-02,WM2,Midwest,wiper_blade,Distributors / Jobbers,Cold,3.08,0,26
2023-01-02,WM3,South,brake_pad_left,OEM Dealerships,Cold,3.08,0,19
2023-01-02,WM3,South,brake_pad_left,Fleet Maintenance Companies,Cold,3.08,0,21
2023-01-02,WM3,South,brake_pad_left,Distributors / Jobbers,Cold,3.08,0,21
