date,warehouse,part_name,inventory_level
2023-01-01,WM1,air_filter,247
2023-01-01,WM1,brake_pad_left,239
2023-01-01,WM1,brake_pad_right,202
2023-01-01,WM1,engine_oil_filter,224
2023-01-01,WM1,fuel_filter,244
2023-01-01,WM1,wiper_blade,315
2023-01-01,WM2,air_filter,295
2023-01-01,WM2,brake_pad_left,230
2023-01-01,WM2,brake_pad_right,138
2023-01-01,WM2,engine_oil_filter,248
2023-01-01,WM2,fuel_filter,229
2023-01-01,WM2,wiper_blade,208
2023-01-01,WM3,air_filter,241
2023-01-01,WM3,brake_pad_left,236
2023-01-01,WM3,brake_pad_right,189
2023-01-01,WM3,engine_oil_filter,273
2023-01-01,WM3,fuel_filter,200
2023-01-01,WM3,wiper_blade,198
2023-01-01,WM4,air_filter,201
2023-01-01,WM4,brake_pad_left,345
2023-01-01,WM4,brake_pad_right,174
2023-01-01,WM4,engine_oil_filter,153
2023-01-01,WM4,fuel_filter,240
2023-01-01,WM4,wiper_blade,265
2023-01-02,WM1,air_filter,216
2023-01-02,WM1,brake_pad_left,221
2023-01-02,WM1,brake_pad_right,185
2023-01-02,WM1,engine_oil_filter,239
2023-01-02,WM1,fuel_filter,271
2023-01-02,WM1,wiper_blade,318
2023-01-02,WM2,air_filter,155
2023-01-02,WM2,brake_pad_left,234
2023-01-02,WM2,brake_pad_right,306
2023-01-02,WM2,engine_oil_filter,124
2023-01-02,WM2,fuel_filter,152
2023-01-02,WM2,wiper_blade,258
2023-01-02,WM3,air_filter,237
2023-01-02,WM3,brake_pad_left,193
2023-01-02,WM3,brake_pad_right,153
2023-01-02,WM3,engine_oil_filter,273
2023-01-02,WM3,fuel_filter,225
2023-01-02,WM3,wiper_blade,162
2023-01-02,WM4,air_filter,274
2023-01-02,WM4,brake_pad_left,260
2023-01-02,WM4,brake_pad_right,179
2023-01-02,WM4,engine_oil_filter,244
2023-01-02,WM4,fuel_filter,216
2023-01-02,WM4,wiper_blade,274
2023-01-03,WM1,air_filter,215
2023-01-03,WM1,brake_pad_left,214
2023-01-03,WM1,brake_pad_right,187
2023-01-03,WM1,engine_oil_filter,205
2023-01-03,WM1,fuel_filter,291
2023-01-03,WM1,wiper_blade,213
2023-01-03,WM2,air_filter,210
2023-01-03,WM2,brake_pad_left,219
2023-01-03,WM2,brake_pad_right,284
2023-01-03,WM2,engine_oil_filter,185
2023-01-03,WM2,fuel_filter,223
2023-01-03,WM2,wiper_blade,308
2023-01-03,WM3,air_filter,248
2023-01-03,WM3,brake_pad_left,296
2023-01-03,WM3,brake_pad_right,196
2023-01-03,WM3,engine_oil_filter,250
2023-01-03,WM3,fuel_filter,177
2023-01-03,WM3,wiper_blade,168
2023-01-03,WM4,air_filter,272
2023-01-03,WM4,brake_pad_left,246
2023-01-03,WM4,brake_pad_right,223
2023-01-03,WM4,engine_oil_filter,324
2023-01-03,WM4,fuel_filter,220
2023-01-03,WM4,wiper_blade,265
2023-01-04,WM1,air_filter,173
2023-01-04,WM1,brake_pad_left,191
2023-01-04,WM1,brake_pad_right,212
2023-01-04,WM1,engine_oil_filter,297
2023-01-04,WM1,fuel_filter,272
2023-01-04,WM1,wiper_blade,275
2023-01-04,WM2,air_filter,209
2023-01-04,WM2,brake_pad_left,262
2023-01-04,WM2,brake_pad_right,215
2023-01-04,WM2,engine_oil_filter,245
2023-01-04,WM2,fuel_filter,276
2023-01-04,WM2,wiper_blade,248
2023-01-04,WM3,air_filter,215
2023-01-04,WM3,brake_pad_left,251
2023-01-04,WM3,brake_pad_right,234
2023-01-04,WM3,engine_oil_filter,330
2023-01-04,WM3,fuel_filter,259
2023-01-04,WM3,wiper_blade,186
2023-01-04,WM4,air_filter,208
2023-01-04,WM4,brake_pad_left,229
2023-01-04,WM4,brake_pad_right,268
2023-01-04,WM4,engine_oil_filter,210
2023-01-04,WM4,fuel_filter,227
2023-01-04,WM4,wiper_blade,229
2023-01-05,WM1,air_filter,139
2023-01-05,WM1,brake_pad_left,260
2023-01-05,WM1,brake_pad_right,285
2023-01-05,WM1,engine_oil_filter,193
2023-01-05,WM1,fuel_filter,179
2023-01-05,WM1,wiper_blade,247
2023-01-05,WM2,air_filter,145
2023-01-05,WM2,brake_pad_left,183
2023-01-05,WM2,brake_pad_right,278
2023-01-05,WM2,engine_oil_filter,262
2023-01-05,WM2,fuel_filter,198
2023-01-05,WM2,wiper_blade,321
2023-01-05,WM3,air_filter,186
2023-01-05,WM3,brake_pad_left,182
2023-01-05,WM3,brake_pad_right,248
2023-01-05,WM3,engine_oil_filter,244
2023-01-05,WM3,fuel_filter,243
2023-01-05,WM3,wiper_blade,255
2023-01-05,WM4,air_filter,141
2023-01-05,WM4,brake_pad_left,230
2023-01-05,WM4,brake_pad_right,136
2023-01-05,WM4,engine_oil_filter,258
2023-01-05,WM4,fuel_filter,169
2023-01-05,WM4,wiper_blade,216
2023-01-06,WM1,air_filter,173
2023-01-06,WM1,brake_pad_left,277
2023-01-06,WM1,brake_pad_right,136
2023-01-06,WM1,engine_oil_filter,295
2023-01-06,WM1,fuel_filter,225
2023-01-06,WM1,wiper_blade,304
2023-01-06,WM2,air_filter,248
2023-01-06,WM2,brake_pad_left,188
2023-01-06,WM2,brake_pad_right,243
2023-01-06,WM2,engine_oil_filter,201
2023-01-06,WM2,fuel_filter,185
2023-01-06,WM2,wiper_blade,262
2023-01-06,WM3,air_filter,271
2023-01-06,WM3,brake_pad_left,251
